0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"0.0,0.0,0.0","-0.17761196863533843,-0.1720336805911008,0.03553556860189532","-0.29461147892674533,-0.40436996482181353,0.0358555297187647","-0.39187369623623636,-0.5486386764996117,0.0036385646874113496","-0.42916213530661784,-0.7117807014531704,-0.023592019193260726","-0.07199288864736425,-0.6640045388397312,0.15546325384046691","-0.09700746796075013,-0.8786272516879939,0.12043481187367593","-0.19205770209532289,-0.9535400014878416,0.0727169220445531","-0.2806210421751488,-0.9680389432337865,0.04094546631032793","-0.015421369263672987,-0.6610100596155954,0.0862905455000182","-0.04443117719316339,-0.9407201470273743,0.04113470465079221","-0.17725044136808274,-1.0003875936914552,-0.008044767221427503","-0.29037577415236127,-0.9563500132757615,-0.032811002619054466","0.0274142820438657,-0.6364495122975187,0.002051133283081106","-0.005675128931418572,-0.9200503088230995,-0.03779225575342382","-0.14952558192670953,-0.9771017868202164,-0.061686609811172924","-0.2631896824825805,-0.9405373959874797,-0.06824210890440713","0.04289400878246302,-0.595145609201771,-0.08541690686922424","-0.019744339240498055,-0.8340904709527461,-0.11361144348421688","-0.13067828560571398,-0.9180698584782603,-0.12432141776672131","-0.22674083222326208,-0.9249039162731529,-0.1264238225870216"
"0.0,0.0,0.0","-0.2038176555943031,-0.06407957889814048,-0.020913424845781216","-0.39870394357936295,-0.22675869443211036,-0.04437209524745454","-0.5569831646206423,-0.31231636303078264,-0.08703191759387775","-0.6458046538067234,-0.4492074491728514,-0.11959771946977978","-0.29953114235441236,-0.6037242514680835,0.08563986822481834","-0.37659242215286143,-0.8310468401975107,0.011326554414788656","-0.4918535212325184,-0.8544198988048209,-0.06086805935997117","-0.577654620148801,-0.815197040927886,-0.10230433427771991","-0.23707942972930282,-0.6351096986452629,0.04407302260604283","-0.32158900653100303,-0.9361924626878144,-0.03812185478037078","-0.45978049190620557,-0.9376785909679742,-0.0982971844696079","-0.5494147306129952,-0.8267394650070563,-0.12101781185138198","-0.16809218515733013,-0.6359459232128075,-0.01700515473370065","-0.24695630909892383,-0.916618317647263,-0.07850680761634125","-0.3975558362467115,-0.9208969901544012,-0.1094493975417862","-0.5005674980719022,-0.8339506443103337,-0.11273422730976664","-0.10361550315598905,-0.6005984207568242,-0.08594777483212185","-0.20142951343466756,-0.8090835666508182,-0.1251399511680633","-0.3300341053129291,-0.8643558603301342,-0.14532951478152387","-0.4334509582826673,-0.8494351008342419,-0.1497043684023005"
"0.0,0.0,0.0","-0.21369068109373401,-0.009295497081079556,-0.027065361484605543","-0.44885795853049515,-0.12229126449690243,-0.05782371997944995","-0.6298303792190084,-0.17792004002279463,-0.10542884764905729","-0.7488652833494225,-0.28134192822493015,-0.14171727530673534","-0.41819015390831893,-0.531428983201186,0.050039706687589704","-0.5518965488113072,-0.7708244505214222,-0.04118498959177933","-0.6766984773915563,-0.7500546772808573,-0.1184223650378665","-0.7452640802511002,-0.6729299733193957,-0.15927846979873042","-0.3507224049095775,-0.5790569893573391,0.007879375528868093","-0.48928523045476396,-0.8880794436665852,-0.08396601889085417","-0.6348479454649908,-0.8356438073396784,-0.13862094025493255","-0.6999826766361789,-0.6967045807278052,-0.1569298556748964","-0.2716497575044439,-0.5946041716731767,-0.053597463305229104","-0.3980569812502791,-0.8848114840445716,-0.12119309801480463","-0.5599853053265629,-0.8320231676510164,-0.1476948366941347","-0.6452329365830708,-0.7148362025720424,-0.14899689231352659","-0.19332364236483224,-0.5732110690703723,-0.12294064080727224","-0.33728963102887005,-0.7642400442993431,-0.16489657182486692","-0.482635617607029,-0.7590212152953267,-0.1817623204121054","-0.5770119674597659,-0.6984487534663026,-0.18432489377637282"
"0.0,0.0,0.0","-0.1834988802861308,-0.14547796595669626,0.008150664019610164","-0.3159469690979638,-0.3563700052851653,0.0005059790644721325","-0.4285432926867801,-0.5042180852523256,-0.03544919293884952","-0.49598114366137436,-0.6688597435469048,-0.06401820313662483","-0.13156969381668857,-0.652438567897986,0.1445853589625812","-0.15257680816271016,-0.8762139574296233,0.0934907962779374","-0.24992934655758747,-0.9412208411511268,0.03001762390286139","-0.3407356093558774,-0.9425579833469866,-0.009637801186399366","-0.07129604238900811,-0.662639104672279,0.08863401872469885","-0.08597422783809183,-0.9594612891748898,0.026389270274465013","-0.2210391019147531,-1.0074185317905513,-0.03414259415940458","-0.3336133841715943,-0.9406187294606955,-0.06275759467445444","-0.019404997007070515,-0.6511051631453741,0.01386785760922796","-0.03795939026366072,-0.9433295257979912,-0.0356279852760199","-0.18649247649585407,-0.9883442505949847,-0.06697494599970615","-0.30115570203266034,-0.933653476892826,-0.07470808742822573","0.015301859312099252,-0.6180502567417947,-0.06711289598830647","-0.02908133340787018,-0.8598091690318687,-0.09647531627378228","-0.1440038800069567,-0.9381034301548307,-0.11011906248262755","-0.24382102264415634,-0.9308987895553366,-0.1134993762576499"
"0.0,0.0,0.0","-0.17115792019606155,-0.15336773590151265,0.020145657575503982","-0.2853624889874331,-0.37747625424843223,0.0238610861075914","-0.38435659541424333,-0.5368651245671888,-0.0021722739531774603","-0.44618738286016585,-0.7051016080745764,-0.021818385970176442","-0.08567515991966822,-0.648028842789999,0.16326399418644658","-0.09981452754718988,-0.866324006870679,0.12619141781288548","-0.189480785926013,-0.9451832135885715,0.07366570021736148","-0.2760248967668472,-0.9592097589823754,0.040150391677323684","-0.02911348604100952,-0.6565534653163101,0.10580958214174828","-0.03690634031136958,-0.938683659402946,0.06073223962657861","-0.16152590111322482,-1.0047802927628688,0.009517852118978652","-0.27392798903602117,-0.9616244986959103,-0.015549287138672466","0.019928743586679735,-0.6447803076015369,0.030296994187910348","0.004559126403004188,-0.9251718355970096,-0.009999342725719751","-0.13166287803093688,-0.9880771568997125,-0.03677189802601619","-0.24549392020602007,-0.9507556384107498,-0.04366966466224986","0.05114945471773758,-0.6165908939286495,-0.05055337031412677","0.006189460222333445,-0.8477775983575779,-0.07788655064405621","-0.09967505213548117,-0.9337496689481987,-0.09070785771884865","-0.19726695301909936,-0.9394553596603316,-0.09415785009337495"
"0.0,0.0,0.0","-0.14507109380189628,-0.1948098509085492,0.03177667083914893","-0.21808524754647604,-0.4303828003531077,0.036753870468721396","-0.2897878236486996,-0.6045915687448995,0.008529947833073908","-0.3278434391475948,-0.7808056510888064,-0.014066189491268095","0.02477792979072182,-0.6363717003050571,0.17956192362522455","0.025395021543297744,-0.8420579573233867,0.15437494567441476","-0.05411086997617886,-0.9413175311454851,0.11287736412717347","-0.1343489137815085,-0.9713974278222169,0.08695560450434199","0.08253869228585645,-0.6334756978925735,0.11682728776186219","0.10023571440490076,-0.9002274283251621,0.09415950186045997","-0.008716303883256648,-0.9982901102481708,0.06136481959749979","-0.11595197131752917,-0.9921885288743864,0.046011558522397675","0.12763417595026022,-0.61159639404441,0.035882105975845034","0.1403487396673948,-0.8886075325317058,0.009440307644920628","0.015226968553692564,-0.9898209803769542,-0.0013547847707957624","-0.09779826757047771,-0.9856818931965652,0.00018289541098028865","0.14533981823955006,-0.5797454271722349,-0.05039743860772976","0.12190532324209177,-0.8222104838205935,-0.07336569483190869","0.020813588452809957,-0.9292142499357611,-0.07785570844026142","-0.079322806599262,-0.9541800432193336,-0.07490211720020012"
"0.0,0.0,0.0","-0.1802083605159602,-0.12315897345759268,-0.004908542622481454","-0.319500202020363,-0.32177525464318285,-0.009552053986014438","-0.4342860513341083,-0.46853987635775596,-0.03467692213516534","-0.5077070706531982,-0.6193617217742846,-0.053009676508399765","-0.16413057758787028,-0.6151502225202377,0.12327938827865037","-0.20019681467643755,-0.8076598716595937,0.08678982391370196","-0.28187241347510195,-0.8760902908816562,0.03635483540738989","-0.3586847034645924,-0.8976344344000446,0.003612755445712692","-0.10503113084091516,-0.6443002996354324,0.08677167932223162","-0.14259862351298244,-0.8926764945676638,0.04823336086510106","-0.24932529663991085,-0.9589984192116856,-0.0005447208042845922","-0.3505401081240843,-0.9361851778314305,-0.026056580840321655","-0.048842634860925126,-0.64217933646633,0.03323020009020347","-0.08845609305735083,-0.8907868516775115,-0.002630569490998447","-0.2079167335273526,-0.9566491133376178,-0.031075985476308247","-0.3148886843112852,-0.9393960261281848,-0.0401956519710377","0.00025923503505832866,-0.6130309342365016,-0.026301279847694047","-0.0603773842815894,-0.8248892313263347,-0.05216986107088399","-0.15781532926432082,-0.9132045409637132,-0.06519356032006392","-0.2501636698150277,-0.9360536062809738,-0.06807144954776334"
"0.0,0.0,0.0","-0.20183189940611274,-0.085143903843482,0.001802344349386144","-0.37454486698586675,-0.2511511331994084,-0.003636733773677381","-0.5145534881135236,-0.3582334460999695,-0.03391978993521643","-0.6062755318342431,-0.4940946263962093,-0.05679678250849553","-0.24709132968200595,-0.6033007099166454,0.13019844604930675","-0.30845545173963085,-0.813945105053582,0.0847662325278297","-0.41303367181672057,-0.8573836376842199,0.02752271484704109","-0.5020171978446516,-0.8498466308520634,-0.009484592194515551","-0.19291386302737276,-0.6335038320352332,0.08078805733253856","-0.2611392152474608,-0.9093473224822362,0.031054558568109947","-0.39775906168195413,-0.937500166672047,-0.01998457451347252","-0.4983283197533836,-0.865755572922243,-0.0462187590254025","-0.1381065155424399,-0.6351140440384442,0.012827421452140452","-0.2106437027428078,-0.9044067936330203,-0.029799197922561013","-0.3609668202935154,-0.9308963092985977,-0.05576334717874255","-0.4673300324346107,-0.8667782390504573,-0.06246595726480977","-0.09403285966881303,-0.6064157911020454,-0.06196531303506577","-0.1802339504335015,-0.8328064156888974,-0.09122632784590527","-0.3020221211487563,-0.8953577958504931,-0.10462150830317232","-0.3993545355815668,-0.8753353402612067,-0.10824117170992371"
"0.0,0.0,0.0","-0.22337513554742242,0.018475171710559443,0.010572788562176262","-0.4450113987622576,-0.07432262201389019,0.000210243594979886","-0.6066175241219893,-0.10381666343262361,-0.03533018986047742","-0.7381368377020612,-0.16639030339810146,-0.06291069321919102","-0.4069151515541522,-0.5013349877456705,0.10824021043430579","-0.5351079353755648,-0.7068610169687477,0.05395508088508802","-0.6635233796785891,-0.6895683141175889,-0.0010727732138285707","-0.760804011644087,-0.6428919587112996,-0.036591254426428375","-0.35664957260337676,-0.545535620200207,0.04719401072025852","-0.5313043751057888,-0.8151728060922281,-0.01806159122033429","-0.6842977908884089,-0.7598840383858387,-0.06625337502880839","-0.766146277725375,-0.6366660862595032,-0.08761378735427204","-0.30903213727102286,-0.5568504787194954,-0.03077868062977321","-0.47384568340014044,-0.7938229656804858,-0.08378555928581281","-0.6395990212549395,-0.7299817365379818,-0.11170237894023194","-0.7421104404224138,-0.6172050448864801,-0.11989669589674475","-0.2728218154238589,-0.5304595138391123,-0.11386198494988346","-0.43150134769773285,-0.6917354635314072,-0.14738818027369247","-0.5713035915568281,-0.6860069355198464,-0.16425160273370637","-0.6761432842783525,-0.626519130026052,-0.17221834175137554"
"0.0,0.0,0.0","-0.22662004560938198,0.04532531158470026,0.012400819602506219","-0.46164077908982304,-0.024830467022672286,0.0006620741119703241","-0.6347722286945224,-0.02819378125101826,-0.03830762803180879","-0.7756304256095854,-0.06217385226847038,-0.06963509043489777","-0.4566596481599585,-0.45683449392691944,0.11588162123547499","-0.6082903966854746,-0.6394537931748986,0.06174765243478299","-0.7338153500066198,-0.6130316573786111,0.0039038600253133425","-0.8301158003602268,-0.5510633376906032,-0.034711375234414886","-0.411943533959692,-0.5047059229894182,0.05125573469394495","-0.6120774060172799,-0.7498090014550913,-0.01798619695932295","-0.7611624317507016,-0.6742512582857503,-0.07368167962078463","-0.8406014154637259,-0.5322650496280817,-0.10041502509483438","-0.3639866554422338,-0.5208092970636574,-0.03026279557531758","-0.5489592682015094,-0.7382497425647403,-0.08591412431536284","-0.7095972378540149,-0.6402285612122445,-0.11923005029799956","-0.8038281537176457,-0.4992677460140893,-0.13094551838971616","-0.3257495044192733,-0.49568143436287,-0.11664651168187153","-0.496072962581437,-0.6365992288192672,-0.14809933613175724","-0.6366933613597191,-0.6073401908526114,-0.16645630390734104","-0.7373490697877544,-0.5295416195976711,-0.17666140848050776"
