0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"0.0,0.0,0.0","-0.18221779013521813,-0.27669232893806306,-0.002771532948016593","-0.264279736201513,-0.5098932644418035,-0.05084092346731387","-0.343314076115838,-0.6759949406534635,-0.11088321285121983","-0.4058190027212854,-0.8103763294034652,-0.17360875061393663","0.10051517914085535,-0.7230639919207218,-0.07952902601710356","0.04173346989614487,-1.0665699055660494,-0.1452516148411428","0.014576769874323029,-1.2582232838378664,-0.1916387161176929","-0.00900003047365101,-1.425217292798342,-0.2294364541444832","0.12918896493428367,-0.6495135151407049,-0.12554168982021904","-0.08371001939977324,-1.0107178820648923,-0.22217431075585684","-0.2623578380137549,-0.9748042311769031,-0.25662437980758257","-0.36282225547109753,-0.8911826844274161,-0.2723112812786317","0.09645824774718322,-0.5596795870261813,-0.170333701271279","-0.09923236574457718,-0.9025297622046808,-0.2551420625865524","-0.2702574448624872,-0.8750401488073924,-0.25575622691432054","-0.3687346304826295,-0.789420721476372,-0.24399883220080718","0.016054463298471693,-0.4663680832623037,-0.21490714324161467","-0.14375212363163956,-0.7255588405930491,-0.2795407378261003","-0.27666750855653477,-0.7752321103428527,-0.2870777469237157","-0.3768031760572479,-0.7576544762760128,-0.2824166193877602"
"0.0,0.0,0.0","-0.19559177439756026,-0.25824694775143475,-0.0037994373039664307","-0.2935209284826817,-0.5059574277197263,-0.044321509201290105","-0.3826906230436851,-0.6749471753923896,-0.10274241052113449","-0.4306529038512924,-0.8371258149395419,-0.16166522683253534","0.045523129997966226,-0.7730085483935797,-0.009591948344423314","-0.025192856031579107,-1.0863244126950258,-0.06606740269889695","-0.08061144532923831,-1.271615774613362,-0.11013516398069176","-0.12917962761616134,-1.4239947568099145,-0.1457670702254837","0.0983307013612664,-0.72615187622364,-0.057799020952916794","-0.10441259683871074,-1.0679621395698582,-0.14640223845793524","-0.28380414811447907,-1.0075538144805896,-0.18788606528710536","-0.3778786928750056,-0.9031996419845804,-0.2035635040718327","0.10008814750853515,-0.6542024291831613,-0.10989621584216583","-0.09493353106069226,-0.956109477780322,-0.18690044924565857","-0.2711451912057535,-0.9137991626457959,-0.19015959312823638","-0.3691122468824031,-0.818997501177748,-0.17792962721717134","0.04520367372651378,-0.5599231808960398,-0.16356483669710606","-0.13373777431714248,-0.7749768112273673,-0.21124396903666612","-0.27067098465737,-0.7888961270506915,-0.20903788244912425","-0.3634832492244647,-0.7372793992405695,-0.19769646433299987"
"0.0,0.0,0.0","-0.1980413308763755,-0.2886302698460331,0.03289498319014553","-0.2649760877341413,-0.5329018984536,-0.0017930993281040147","-0.33626268491304145,-0.6991937027310603,-0.06209488765261511","-0.4036803635584093,-0.8569890659615647,-0.12703062599929532","0.07985415734897076,-0.7642510676829464,-0.012483020944320512","0.05707634636707408,-1.0942727627720072,-0.05941400021013357","0.04038916179429304,-1.2805907179803124,-0.08950145784639665","0.02509262373102004,-1.4419602950984314,-0.11669667806543786","0.11893010071134041,-0.7114321185003972,-0.0792960548598626","-0.09008479615338426,-1.0561324564755616,-0.1621941811759331","-0.2686224722372822,-1.0034495321749914,-0.1918531616288402","-0.3600254575139903,-0.9104860365691854,-0.20346215165081194","0.095029869375124,-0.6338937298027423,-0.1446445696963886","-0.10291319475587243,-0.9678620582735777,-0.22011525831043383","-0.270686456251119,-0.9255327973895834,-0.21719390172267586","-0.36147211989197314,-0.8263451358383829,-0.2049543866658176","0.01493654529761399,-0.5530188600927235,-0.20748532890064333","-0.14681300294198513,-0.8125992623116262,-0.2601860807771018","-0.277424037264053,-0.8356634615903668,-0.2583599013311801","-0.36567780276788914,-0.7906580569285206,-0.24937501816146115"
"0.0,0.0,0.0","-0.18792886622755764,-0.25483571908932084,0.03272136358112745","-0.2637193487432864,-0.5084253723964192,0.011628622132095243","-0.3496509283517093,-0.667676560281815,-0.03999067167796282","-0.4252378236618593,-0.829127398255013,-0.09471469754865443","0.039468476607286467,-0.7949613682925021,0.04699384003857212","-0.02172092863772182,-1.1042751684098948,0.006469055514917826","-0.048514048433321244,-1.278658866708243,-0.024085892285139573","-0.06289289002638106,-1.42564766964557,-0.051770817283534096","0.08898200584483458,-0.7594687845827724,-0.025451624129065493","-0.12397175717780508,-1.094316111324467,-0.11132232142813142","-0.30585484673091606,-1.019249537372666,-0.15256246327333384","-0.39652893570061737,-0.902854277567351,-0.1661895202185507","0.08975248727686332,-0.6954546672504895,-0.10207540890934648","-0.12335452173915452,-1.0051945801237445,-0.18467277698340578","-0.30127563228061444,-0.9370880410994445,-0.19801667668802067","-0.39031967086677866,-0.823829879444829,-0.19178879961617787","0.04042814823794978,-0.6172932199267447,-0.17735245454152335","-0.1355032766189935,-0.8585025101281986,-0.23362042654868448","-0.2800671984404196,-0.8762045480959466,-0.24134099061482336","-0.37335014101744163,-0.8298156524863073,-0.23811345220573688"
"0.0,0.0,0.0","-0.12833631761379138,-0.18783824820078962,0.004765830563623172","-0.20154132429443816,-0.4246898590261773,-0.001600862049166859","-0.25787846748426474,-0.6197586440065811,-0.03608801587570044","-0.23458116990965314,-0.794523333531163,-0.06765647986373413","-0.0729871128754286,-0.584643271109638,0.13514785292019102","-0.07116137309108538,-0.8008437858939041,0.12376302346208594","-0.0941666135806586,-0.9363827855343256,0.10785506087292894","-0.10303877022739115,-1.0505914509821082,0.09300637101670597","-0.006694889879729901,-0.5938379857959265,0.09207299306264981","0.0026423018680723043,-0.8652530275878773,0.04958988567073017","-0.0893982976910744,-0.9567948181579611,0.018551260431353134","-0.1644082227282088,-0.9863219008743505,0.011791698561267126","0.05215287183343661,-0.5763825262909066,0.03381174581585231","0.03517679262727315,-0.8520291228824378,-0.02108407276618488","-0.09999034606081057,-0.850160486778499,-0.049971636467890095","-0.19278664506841608,-0.7776934917781662,-0.04908965923769991","0.09613315914133648,-0.54475192226604,-0.026809149369263856","0.045573161357295985,-0.7667813226597601,-0.059483851815145865","-0.06718552492389898,-0.8075896499715949,-0.07547436457615435","-0.15521322949439043,-0.7727703730988728,-0.07860625725097385"
"0.0,0.0,0.0","-0.2035357752334201,-0.26221449675736014,0.029675251097092882","-0.2795268927326641,-0.49764400779944656,0.005085662532049297","-0.35756406854756734,-0.6692945121156414,-0.04911682843924364","-0.3922982457064639,-0.8429248604855564,-0.10348328443123034","0.05079508596181098,-0.7352896274208086,0.06476807806443226","0.030101530181890254,-1.008516571725621,0.03777852413933233","0.022825485716532274,-1.1733850050192198,0.013586793187415515","0.024977261120855694,-1.3087391834882407,-0.012140969470444346","0.10270076568069211,-0.7013408981332953,-0.0024985306182497787","-0.07567105054842171,-1.012235480698737,-0.06182832371964377","-0.2433604559419362,-0.9956426004959251,-0.09349829247442379","-0.32401742160350544,-0.9397278541361975,-0.10919830886050318","0.10317009688392552,-0.6483604593644445,-0.07581670966435192","-0.07495698992819165,-0.9582155532609212,-0.14031098208182452","-0.24418286717261214,-0.928424214323172,-0.14862570399738445","-0.32937870762489035,-0.840148376092881,-0.14535304764153123","0.045296950862128565,-0.5852894937804249,-0.14928883418744401","-0.12791692484888506,-0.809332597182062,-0.20250888816804571","-0.25625229749800765,-0.827692946717772,-0.21391826858332275","-0.331355165722034,-0.7790546210407998,-0.2151157450456007"
"0.0,0.0,0.0","-0.19783583555512751,-0.26398124210477886,0.024261197709469343","-0.2725060097658098,-0.5058397404012185,-0.0007170329146236212","-0.3471168134851372,-0.6850649677772208,-0.054431151904047084","-0.38053599923685444,-0.8624857032816048,-0.10801200571943613","0.04854344735881056,-0.7470932162841945,0.06790111935960172","0.03392847324787111,-1.007991460092584,0.03998875830438616","0.026527755967695632,-1.1682387243742025,0.01371988434933587","0.029972357662993533,-1.2980954400943465,-0.013465608534499102","0.10546444211337042,-0.7102037325463897,0.0030425167537096384","-0.06278392354225033,-1.0097278614319296,-0.05988375174504127","-0.23256107935026013,-0.9957361847138241,-0.09465139557955654","-0.3182744432521346,-0.9415117234634902,-0.11071157732302443","0.11118413959066717,-0.6519058062243596,-0.06890012910650917","-0.05761553673701961,-0.9561357886809183,-0.13617812054514825","-0.22809493413808674,-0.9368105082121084,-0.14731492312241626","-0.31741626135287787,-0.8581254972899428,-0.14491637846327593","0.05836898537887056,-0.5832579334640986,-0.14134650735037899","-0.11207942804702072,-0.7999646796963854,-0.19586042293766623","-0.23749383951792602,-0.8234644478385877,-0.20900342631177116","-0.309231668054032,-0.7824273786812859,-0.2107811550790835"
"0.0,0.0,0.0","-0.18007435391759927,-0.30914497361376553,0.038301776728049304","-0.23675522414334219,-0.5374745052920086,0.011200846155356419","-0.2918932716797251,-0.711651142318593,-0.03786745907860475","-0.3209001365574159,-0.860761526006384,-0.09155969025335088","0.12921218938928133,-0.6883204568932316,-0.02100657289693765","0.12585411800651297,-1.0224580293432917,-0.0639667108364976","0.1221237565929312,-1.2100935440460077,-0.09301384655256772","0.11745540030726415,-1.3738496951073436,-0.1200774820603081","0.15042047728029348,-0.6401266897697364,-0.08402248511689596","-0.007601049002703902,-1.0231706605687696,-0.15575331973399686","-0.18258568548722273,-1.014991088928255,-0.17699830335036124","-0.2777507463031251,-0.942675854857113,-0.18497771648895472","0.1074569450758152,-0.5753208670215659,-0.14388680218291577","-0.044435761357676816,-0.9517414805971715,-0.20990189794484346","-0.1973827793840838,-0.9339966761171795,-0.20208316162517564","-0.2777308500219305,-0.8478431001992389,-0.18737678472676592","0.01709827099636711,-0.5070729876267385,-0.2007109399815391","-0.11859847992397018,-0.8093914323764168,-0.25484805152551937","-0.23911350739608447,-0.8518789843153947,-0.2537760676347645","-0.31972587334614533,-0.8167455953129518,-0.24372019537068562"
"0.0,0.0,0.0","-0.16278297886951917,-0.3067264508836881,0.05147545557004396","-0.20006148618187738,-0.5204066270591932,0.03803325097860249","-0.23626137479203374,-0.6716943851529615,0.006642592645622444","-0.28086217959741583,-0.8018719221741124,-0.03188582838489531","0.11632502196849114,-0.6798986801923346,-0.04409981335475413","0.09660106348346864,-1.0425972745310015,-0.09944698154502836","0.09337090085017272,-1.2375673231239541,-0.13585126461996364","0.09011973126363042,-1.4141153535164952,-0.16380586272883338","0.11554619408504829,-0.6275293273824425,-0.10348380750186023","-0.049666916254411726,-1.0198487074318323,-0.17856911264355657","-0.21947043853153714,-1.003960971997597,-0.1959238377363028","-0.3126694553857547,-0.928727023029016,-0.19925844615583305","0.05119777343140832,-0.564557156656439,-0.15644934304386784","-0.12076494951677942,-0.9455870662758932,-0.22654263778247782","-0.262535870646608,-0.9218870019906625,-0.21979089012125894","-0.3292560155870973,-0.8428362663112138,-0.20279010519579765","-0.05278104982818793,-0.4967180478839149,-0.20332912005689982","-0.19550032691742425,-0.804030730191843,-0.2525023238283552","-0.30459699370250265,-0.8420434992344953,-0.2448676460691244","-0.3700259963250031,-0.8195939376474216,-0.2295234164684727"
"0.0,0.0,0.0","-0.1787364002026359,-0.3249911299388986,0.05307515606783033","-0.22926273956469237,-0.5636872258869753,0.03404892524653766","-0.2804741154859865,-0.7341811203747504,-0.010661625226589776","-0.3269052986214407,-0.8831330136618939,-0.06188863993768162","0.1164960316211114,-0.724626491412812,-0.005494599884279208","0.09236240471485974,-1.0482188611280236,-0.042331412837718324","0.07684834146153663,-1.22795288179886,-0.06569642740528228","0.06913601950386734,-1.3875366576175667,-0.0893007580316776","0.14097716586875783,-0.6713661461975292,-0.07668030863313219","-0.027450777326291198,-1.028442316191612,-0.1409298839261497","-0.19803648973944313,-1.0113762709519825,-0.15942711829101006","-0.28538536708694107,-0.9435963168162196,-0.16787252051338453","0.10029885067846447,-0.5991475581205882,-0.14419707177080784","-0.05895046611426136,-0.9591592153088496,-0.20917175802191965","-0.20850929795514958,-0.9360375044516567,-0.20404542508949855","-0.28524816788810214,-0.847270486294342,-0.19255127437628164","0.011210325867087393,-0.5255788531722757,-0.20706634996659043","-0.1312234541532595,-0.8202969319156206,-0.2590705069927838","-0.24845009549406202,-0.8656641976273513,-0.2584992114476885","-0.32708365757993124,-0.8329474655965338,-0.25073141016363554"
