0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"0.0,0.0,0.0","-0.19809956776087823,-0.08844712170544006,-0.10971949419913894","-0.34024949407744953,-0.33874666908977863,-0.18959202431449906","-0.2879303640158662,-0.5545468608395518,-0.2748579619170055","-0.11964233454866205,-0.6397201824118041,-0.3496842828780468","-0.25182753457633356,-0.821275847517863,-0.08248719748381549","-0.2508943128218426,-1.1707698614575042,-0.21874854355884402","-0.3229369107493566,-1.1048168870088395,-0.322525383634344","-0.33659900094423323,-0.9235155575170761,-0.3788047547978147","-0.10938799622175742,-0.8464777686546726,-0.09767117704482302","-0.09214201872864004,-1.2614957661280806,-0.23178498602745365","-0.1756262656635675,-1.1303719424151584,-0.3153155795225516","-0.18768734893625375,-0.9179404024413438,-0.34951234114849883","0.029997787943327962,-0.8110480281808097,-0.13340397406782475","0.06411132311159042,-1.2014034884365712,-0.23087573928995042","-0.02890002510761959,-1.1058966416002767,-0.28785072514244714","-0.056092473957087864,-0.9067692471304144,-0.3089601185884597","0.1786602847908433,-0.721507337340382,-0.18229797615587645","0.21515855553950863,-1.0287261344444774,-0.2389398865794433","0.140897489930753,-1.0265930209073155,-0.27271670766668","0.0979275989052397,-0.8989960995004884,-0.2907659330279818"
"0.0,0.0,0.0","-0.18323610923636968,-0.015383956810029761,-0.15370056376681077","-0.2992010398662407,-0.18423125688302416,-0.25822643624158664","-0.21391863443180983,-0.38102077275935387,-0.35857853756423086","-0.06716745172826978,-0.5102562966899254,-0.44568175086525136","-0.35066876953639164,-0.7167740756677716,-0.15906216168901965","-0.40340271212061296,-1.102167566728816,-0.31191992408400954","-0.3479681457040511,-1.0062424110882622,-0.42564831553665455","-0.28633546850580677,-0.8306024331829639,-0.4874122272935421","-0.19684582065967768,-0.8040929090678729,-0.1584694750462391","-0.249117863443609,-1.2503669141908333,-0.29773899848459856","-0.18783218417225742,-1.086738909938113,-0.3955509732612778","-0.14591076575921594,-0.8828342173304555,-0.44644573370800766","-0.049008657656448434,-0.8249838461891762,-0.17742321600992889","-0.07864302561276906,-1.2171758891184463,-0.28129350667681025","-0.0494705574567384,-1.0914632107800986,-0.34171142250123837","-0.025620538922535362,-0.8889316098864545,-0.36885903167698114","0.09851933048045768,-0.7923689064446321,-0.21272391541054797","0.11144736719849904,-1.1211427085245989,-0.2795110233128811","0.11300785498533475,-1.1042505571743544,-0.31505615782416074","0.10541888711270464,-0.958284632785141,-0.3359055468865049"
"0.0,0.0,0.0","-0.20885477848841316,-0.04237531920864344,-0.11461601647384831","-0.38230376557122975,-0.26221303348606473,-0.19116080562442375","-0.3994397399059618,-0.4860230946633733,-0.27321569674712415","-0.2729465405759384,-0.6517783477368949,-0.3438738920435594","-0.36290706527034716,-0.744998844285337,-0.05599373024150609","-0.3945577855569431,-1.0854031816760152,-0.19388435614593663","-0.4223465367106237,-1.044839282718787,-0.3060045398661127","-0.39871233232690123,-0.8703584792594726,-0.36371808858758775","-0.22447218858901757,-0.8073491987529566,-0.06364318439314916","-0.25382849889987014,-1.21259093971624,-0.19970403434878836","-0.2947261757703376,-1.1041722737155155,-0.3042038024565831","-0.28258322950220754,-0.8929264873064933,-0.3504696943682714","-0.08997416532639262,-0.8189758888575323,-0.09298830729792305","-0.10050139265504018,-1.1858444441982283,-0.19174523015036724","-0.15800361597335624,-1.1120663023107784,-0.26779351073598734","-0.14864976137556993,-0.9148769087809359,-0.2982664390053395","0.06196187483632256,-0.7832036098599596,-0.13522228763676886","0.051595551289036284,-1.0885792218863108,-0.18995075629634042","-0.005602402421965098,-1.11161073304054,-0.23173660533710752","-0.026052771948543982,-0.9947757971057398,-0.25312356779777584"
"0.0,0.0,0.0","-0.1764293225009933,-0.0656653571127061,-0.09416556914560723","-0.2909177407672795,-0.2844269722956679,-0.15867124749232167","-0.25093086230803374,-0.48149494137685633,-0.2281644572971166","-0.12793953734393637,-0.6072241224112678,-0.29021753012447377","-0.317557602089362,-0.7136619906132258,-0.05735709596457954","-0.35141794404623006,-1.0268999862847303,-0.18105901575033675","-0.3545417511956637,-1.031243433794474,-0.2879525327784402","-0.32871972670100424,-0.8875238397162849,-0.3438545258851364","-0.1842382162622245,-0.7699193532937427,-0.07088764504126063","-0.21190911119152842,-1.1288265207539772,-0.1857011010210098","-0.23313667018805176,-1.089920604890196,-0.2879068789598153","-0.2277523280959087,-0.9121254749158108,-0.3408166590067162","-0.052250935841414645,-0.7748552082489916,-0.1012403975600021","-0.06222549946769317,-1.0991487301422391,-0.18439917144695162","-0.10079239750130325,-1.078351559024372,-0.26155506109146937","-0.1023699038848461,-0.9099508178328797,-0.29934336336185374","0.08750854053426767,-0.7330833684600526,-0.14256557574067943","0.0860930537175739,-1.0017940683039483,-0.19583337783890145","0.04639601303507976,-1.0538998356120461,-0.2389224535573569","0.024170123918634327,-0.9637791352353665,-0.2621449876903712"
"0.0,0.0,0.0","-0.18905810159827752,-0.08102685521870442,-0.0815492756435702","-0.31998612055760534,-0.3442771394895846,-0.1347771583567762","-0.24626479612356175,-0.5597106596071468,-0.19540907067407842","-0.08933683194976508,-0.6042112807053499,-0.24919813851210212","-0.291884609049217,-0.7671805058045185,-0.04140030173319039","-0.32142657503740774,-1.0839391564456848,-0.15597332179432297","-0.3524544291950864,-1.0756979756140628,-0.2518451349599666","-0.3458523461626588,-0.916232307539962,-0.30211833543725847","-0.1619489031759752,-0.8076217816168985,-0.05853858405655441","-0.17435952854711842,-1.1700753656592797,-0.16971712586305301","-0.22006014115954395,-1.1224106494788297,-0.2561273570175637","-0.22182534326221218,-0.9290398323309432,-0.29610556737267657","-0.03452805528521279,-0.7913069566843697,-0.0932574777792753","-0.027450983678800212,-1.1295954970252633,-0.17367006660928935","-0.08719783449104777,-1.1111414164880533,-0.24388007350521884","-0.100834911337736,-0.94110751078875,-0.27574498208568676","0.1028789110816563,-0.7340816756496686,-0.1387117626724985","0.1231160057930591,-1.020100692102099,-0.19216880639829267","0.08003247696490537,-1.0742029232628485,-0.23606434949071584","0.05463788403630332,-0.9801063960265967,-0.2600066454934114"
"0.0,0.0,0.0","-0.19974378010309174,-0.08626691452577859,-0.08831821037205141","-0.3324863242974719,-0.3823942342845122,-0.13545207801329634","-0.23649989271987817,-0.6024859114645477,-0.18701257932322884","-0.04337502034956908,-0.5933350109630274,-0.22912125697324479","-0.26807196386861676,-0.7939282857221165,-0.04688034111131059","-0.2828274973839714,-1.109247799314039,-0.15835633360587612","-0.33806773770275594,-1.0956006063181802,-0.24608428592960638","-0.3425981999619498,-0.9385714070169137,-0.2912632290920265","-0.13737168978991285,-0.8295389856034829,-0.058228887685083025","-0.1381870146810549,-1.1864093290482398,-0.16729735061448445","-0.20660385513377208,-1.1388194220284107,-0.23405492905421096","-0.21091082866066907,-0.9433815600154637,-0.25602315242270546","-0.010812421808808738,-0.8071934106136472,-0.0892411650751279","0.009487584825499922,-1.1388338023541607,-0.1681900027389308","-0.06682550568945576,-1.1162519414614065,-0.21866939874493624","-0.07935855326368112,-0.9465287404811908,-0.23320940877723392","0.12464496957164277,-0.7436989952440046,-0.1335885147783414","0.1621243202229342,-1.0237485830959554,-0.18924075472810092","0.10697933307104357,-1.0816902137822197,-0.2280793924779438","0.07833266874045772,-0.988439210407367,-0.2443990172953914"
"0.0,0.0,0.0","-0.20685668838212798,-0.06330049891332369,-0.09296825815530765","-0.3609589081630555,-0.3340142762488188,-0.15207684545196895","-0.26382286841255004,-0.5578606054139316,-0.21694375017610532","-0.07366577255710272,-0.5685776655781652,-0.2742111744336006","-0.3468555650027714,-0.7786117805966575,-0.05180746214457541","-0.3905840885177148,-1.0973667085947427,-0.17462269359282145","-0.4135361325573295,-1.0579006921049086,-0.2763696664089764","-0.3838652902042395,-0.8795242567499234,-0.3296949099905612","-0.2085961673519335,-0.8390070686334925,-0.06607259805891456","-0.2465226449834342,-1.2032533704942219,-0.18128831526685207","-0.28546044131390697,-1.1296681143603875,-0.25636690788190963","-0.26614460540968254,-0.9209303677943846,-0.2847003805501915","-0.06712016561045646,-0.8324613265921763,-0.10096280609727684","-0.0804415808212815,-1.1835298188761985,-0.18461760519903275","-0.13534378448476594,-1.1318625921784615,-0.2398037440850078","-0.131775664063012,-0.9457364510838916,-0.2581949076341759","0.08216214653729914,-0.7799800194135408,-0.14912347332565618","0.08575998778643402,-1.0750575800892461,-0.20640428884230666","0.03772032316521278,-1.1040255248747766,-0.24211857436714093","0.023699117564236098,-0.99509153250606,-0.2568501921766912"
"0.0,0.0,0.0","-0.19301462369233413,-0.06655754254332726,-0.09051145937153059","-0.3119307663697455,-0.3085509480248671,-0.14703490980576941","-0.20701162394048547,-0.5158631031893627,-0.20830280174595708","-0.03499025093706347,-0.5723402118014932,-0.2614781857994571","-0.3340345666103498,-0.7494291949732305,-0.05737888029631102","-0.37754794128743824,-1.077449696411249,-0.1752673932752422","-0.37844569726440197,-1.0333295689106967,-0.27207462429922347","-0.34046627887337955,-0.8620009660339559,-0.3222835693169607","-0.1924926971632738,-0.8197797035855047,-0.06992150577128971","-0.23204927589236443,-1.205604097454203,-0.1776464830061322","-0.2453901626184364,-1.129163166771203,-0.256287157342814","-0.22513295537643946,-0.9300063782919,-0.2905224410262545","-0.05086031104635063,-0.824970781667515,-0.10032855629146417","-0.07297628604371804,-1.1963429452525733,-0.18161470933038446","-0.09608635639765264,-1.1350406629328877,-0.23892727754180246","-0.08513463335202053,-0.9531947905589188,-0.2601308901624482","0.09443482417587966,-0.7800336221207106,-0.14217910070483777","0.09964085603521855,-1.076932136914506,-0.19915214869538347","0.07952604051362447,-1.1078814272807311,-0.2354581335358907","0.07554145435997185,-1.0120652975494937,-0.25130013877089774"
"0.0,0.0,0.0","-0.203932259904301,-0.09899335267479667,-0.07056280094587958","-0.3624849742983248,-0.34123378010258343,-0.1238776466363934","-0.40994203107966604,-0.5747326245131368,-0.18838965001385724","-0.277004353595869,-0.6088921837660003,-0.2417700192695455","-0.23412162266064987,-0.7596683066560054,-0.0077158879782842004","-0.2333255402970895,-1.0775505749930958,-0.11710375276246222","-0.3171127933219989,-1.0760767179404165,-0.20757252375812293","-0.3580011609501188,-0.9537927890794325,-0.25871117936176735","-0.12506950443661127,-0.7764967418656521,-0.027334673739546848","-0.11963091489647769,-1.15727094231768,-0.1499711332639096","-0.22240179835700205,-1.115367456832355,-0.23306018095712577","-0.2601151015897223,-0.9282873886988336,-0.26574923877157003","-0.015641082284228995,-0.7505347403800806,-0.06525977970663545","0.0003701272224491376,-1.0970920094841092,-0.14317757341171566","-0.10585638562045337,-1.083212713773489,-0.19490429299050133","-0.1555178137093077,-0.9252552200186478,-0.21134913397710672","0.11395689783551799,-0.6855253859713761,-0.1150282311033931","0.13348431595546292,-0.9635385619357497,-0.15777915766787726","0.052025205921568674,-1.0208349924242714,-0.19440798873273557","-0.017841890107572263,-0.9401559290751729,-0.2133919309732154"
"0.0,0.0,0.0","-0.24255017152177297,-0.0854454847072275,-0.10091821791087187","-0.4393016186843835,-0.3123001522699495,-0.169416114389031","-0.5573404227975078,-0.5523145348959227,-0.2498215614464317","-0.4236659222779918,-0.641496451535705,-0.31981110930401313","-0.28452326598894245,-0.7484146444410527,0.0028604271600596817","-0.31354789696298346,-1.07764238759179,-0.12863147043178688","-0.38424042420628873,-1.0392284842197879,-0.24461342735433977","-0.3878540324738328,-0.8796660406811527,-0.31110914247768034","-0.1607570544831692,-0.7875761422212961,-0.008797399965008073","-0.17955279715904057,-1.1928396912416586,-0.14858941759930286","-0.261372609414282,-1.1099806906733647,-0.2606845092681405","-0.2636758419036038,-0.9124799806514731,-0.312818374311218","-0.03687867173056286,-0.7872178102748909,-0.044303996317146","-0.04618554831563277,-1.159924104100295,-0.14012860611942252","-0.13187770709198302,-1.1161185370218172,-0.2133093393182948","-0.14032905332077186,-0.9328756395321748,-0.24029470600887667","0.11053667818362356,-0.7456821066649381,-0.09359893175542106","0.09830975559403726,-1.0575188145729717,-0.141841319240226","0.027019666193689625,-1.095807070747434,-0.18314401724534415","-0.012331136608383203,-0.9833746471553757,-0.20550291358760256"
